id,number,name
345,2364 ,倫飛 
346,2365 ,昆盈 
347,2376 ,技嘉 
348,2377 ,微星 
349,2380 ,虹光 
350,2382 ,廣達 
351,2387 ,精元 
352,2395 ,研華 
353,2397 ,友通 
354,2399 ,映泰 
355,2405 ,浩鑫 
356,2417 ,圓剛 
357,2424 ,隴華 
358,2425 ,承啟 
359,2442 ,新美齊 
360,2465 ,麗臺 
361,3002 ,歐格 
362,3005 ,神基 
363,3013 ,晟銘電 
364,3017 ,奇鋐 
365,3022 ,威強電 
366,3046 ,建碁 
367,3057 ,喬鼎 
368,3060 ,銘異 
369,3231 ,緯創 
370,3416 ,融程電 
371,3494 ,誠研 
372,3515 ,華擎 
373,3701 ,大眾控 
374,3706 ,神達 
375,4915 ,致伸 
376,4916 ,事欣科 
377,4938 ,和碩 
378,5215 ,科嘉-KY 
379,5264 ,鎧勝-KY 
380,6117 ,迎廣 
381,6128 ,上福 
382,6166 ,凌華 
383,6172 ,互億 
384,6206 ,飛捷 
385,6230 ,超眾 
386,6235 ,華孚 
387,6277 ,宏正 
388,6414 ,樺漢 
389,8114 ,振樺電 
390,8163 ,達方 
391,8210 ,勤誠 
392,9912 ,偉聯 
393,2323 ,中環 
394,2340 ,光磊 
395,2349 ,錸德 
396,2374 ,佳能 
397,2393 ,億光 
398,2406 ,國碩 
399,2409 ,友達 
400,2426 ,鼎元 
401,2438 ,翔耀 
402,2448 ,晶電 
403,2466 ,冠西電 
404,2475 ,華映 
405,2486 ,一詮 
406,2489 ,瑞軒 
407,2491 ,吉祥全 
408,2499 ,東貝 
409,3008 ,大立光 
410,3019 ,亞光 
411,3024 ,憶聲 
412,3031 ,佰鴻 
413,3038 ,全台 
414,3049 ,和鑫 
415,3050 ,鈺德 
416,3051 ,力特 
417,3059 ,華晶科 
418,3149 ,正達 
419,3356 ,奇偶 
420,3383 ,新世紀 
421,3406 ,玉晶光 
422,3454 ,晶睿 
423,3481 ,群創 
424,3504 ,揚明光 
425,3514 ,昱晶 
426,3535 ,晶彩科 
427,3557 ,嘉威 
428,3561 ,昇陽光電 
429,3576 ,新日光 
430,3591 ,艾笛森 
431,3622 ,洋華 
432,3669 ,圓展 
433,3673 ,TPK-KY 
434,3698 ,隆達 
435,4934 ,太極 
436,4935 ,茂林-KY 
437,4942 ,嘉彰 
438,4956 ,光鋐 
439,4960 ,奇美材 
440,4976 ,佳凌 
441,5234 ,達興材料 
442,5243 ,乙盛-KY 
443,5259 ,清惠 
444,5484 ,慧友 
445,6116 ,彩晶 
446,6120 ,達運 
447,6131 ,悠克 
448,6164 ,華興 
449,6168 ,宏齊 
450,6176 ,瑞儀 
451,6209 ,今國光 
452,6225 ,天瀚 
453,6226 ,光鼎 
454,6278 ,台表科 
455,6289 ,華上 
456,6405 ,悅城 
457,8072 ,陞泰 
458,8105 ,凌巨 
459,8215 ,明基材 
460,2314 ,台揚 
461,2321 ,東訊 
462,2332 ,友訊 
463,2345 ,智邦 
464,2412 ,中華電 
465,2419 ,仲琦 
466,2439 ,美律 
467,2444 ,友旺 
468,2450 ,神腦 
469,2455 ,全新 
470,2485 ,兆赫 
471,2496 ,卓越 
472,2498 ,宏達電 
473,3025 ,星通 
474,3027 ,盛達 
475,3045 ,台灣大 
476,3047 ,訊舟 
477,3062 ,建漢 
478,3311 ,閎暉 
479,3380 ,明泰 
480,3419 ,譁裕 
481,3596 ,智易 
482,3682 ,亞太電 
483,3694 ,海華 
484,3704 ,合勤控 
485,4904 ,遠傳 
486,4906 ,正文 
487,4977 ,眾達-KY 
488,4984 ,科納-KY 
489,5388 ,中磊 
490,6136 ,富爾特 
491,6142 ,友勁 
492,6152 ,百一 
493,6216 ,居易 
494,6283 ,淳安 
495,6285 ,啟碁 
496,8011 ,台通 
497,8101 ,華冠 
498,1471 ,首利 
499,1582 ,信錦 
500,2059 ,川湖 
501,2308 ,台達電 
502,2313 ,華通 
503,2316 ,楠梓電 
504,2327 ,國巨 
505,2328 ,廣宇 
506,2355 ,敬鵬 
507,2367 ,燿華 
508,2368 ,金像電 
509,2375 ,智寶 
510,2383 ,台光電 
511,2385 ,群光 
512,2392 ,正崴 
513,2402 ,毅嘉 
514,2413 ,環科 
515,2415 ,錩新 
516,2420 ,新巨 
517,2421 ,建準 
518,2428 ,興勤 
519,2429 ,銘旺科 
520,2431 ,聯昌 
521,2437 ,旺詮 
522,2440 ,太空梭 
523,2443 ,新利虹 
524,2456 ,奇力新 
525,2457 ,飛宏 
526,2460 ,建通 
527,2462 ,良得電 
528,2467 ,志聖 
529,2472 ,立隆電 
530,2476 ,鉅祥 
531,2478 ,大毅 
532,2483 ,百容 
533,2484 ,希華 
534,2492 ,華新科 
535,2493 ,揚博 
536,3003 ,健和興 
537,3011 ,今皓 
538,3015 ,全漢 
539,3021 ,鴻名 
540,3023 ,信邦 
541,3026 ,禾伸堂 
542,3032 ,偉訓 
543,3037 ,欣興 
544,3042 ,晶技 
545,3044 ,健鼎 
546,3058 ,立德 
547,3090 ,日電貿 
548,3229 ,晟鈦 
549,3296 ,勝德 
550,3308 ,聯德 
551,3338 ,泰碩 
552,3376 ,新日興 
553,3432 ,台端 
554,3501 ,維熹 
555,3533 ,嘉澤 
556,3550 ,聯穎 
557,3593 ,力銘 
558,3605 ,宏致 
559,3607 ,谷崧 
560,3645 ,達邁 
561,3653 ,健策 
562,3679 ,新至陞 
563,4912 ,聯德控股-KY 
564,4927 ,泰鼎-KY 
565,4958 ,臻鼎-KY 
566,4999 ,鑫禾 
567,5469 ,瀚宇博 
568,6108 ,競國 
569,6115 ,鎰勝 
570,6133 ,金橋 
571,6141 ,柏承 
572,6153 ,嘉聯益 
573,6155 ,鈞寶 
574,6165 ,捷泰 
575,6191 ,精成科 
576,6197 ,佳必琪 
577,6205 ,詮欣 
578,6213 ,聯茂 
579,6224 ,聚鼎 
580,6251 ,定穎 
581,6269 ,台郡 
582,6282 ,康舒 
